FID,PAR20CD,PAR20NM,WD20CD,WD20NM,LAD20CD,LAD20NM
10916,W04001018,Pontypridd,W05001021,Graig,W06000016,Rhondda Cynon Taf
10917,W04001014,Llantrisant,W05001022,Llantrisant Town,W06000016,Rhondda Cynon Taf
10918,W04001015,Llantwit Fardre,W05001023,Llantwit Fardre,W06000016,Rhondda Cynon Taf
10919,W04001016,Mountain Ash East,W05001024,Mountain Ash East,W06000016,Rhondda Cynon Taf
10920,W04001014,Llantrisant,W05001025,Talbot Green,W06000016,Rhondda Cynon Taf
10921,W04001014,Llantrisant,W05001026,Tyn-y-nant,W06000016,Rhondda Cynon Taf
10922,W04000728,Bargoed,W05000718,Aberbargoed,W06000018,Caerphilly
10923,W04000725,Abercarn,W05000719,Abercarn,W06000018,Caerphilly
10924,W04000726,Aber Valley,W05000720,Aber Valley,W06000018,Caerphilly
10925,W04000727,Argoed,W05000721,Argoed,W06000018,Caerphilly
10926,W04000728,Bargoed,W05000722,Bargoed,W06000018,Caerphilly
10927,W04000729,"Bedwas, Trethomas and Machen",W05000723,"Bedwas, Trethomas and Machen",W06000018,Caerphilly
10928,W04000730,Blackwood,W05000724,Blackwood,W06000018,Caerphilly
10929,W04000733,Crosskeys,W05000726,Crosskeys,W06000018,Caerphilly
10930,W04000735,Darran Valley,W05000728,Darren Valley,W06000018,Caerphilly
10931,W04000728,Bargoed,W05000729,Gilfach,W06000018,Caerphilly
