FID,PAR20CD,PAR20NM,WD20CD,WD20NM,LAD20CD,LAD20NM
11277,E04008673,Castle Cary,E05012519,Cary,E07000189,South Somerset
11278,E04008726,Lovington,E05012519,Cary,E07000189,South Somerset
11279,E04008736,North Barrow,E05012519,Cary,E07000189,South Somerset
11280,E04008737,North Cadbury,E05012519,Cary,E07000189,South Somerset
11281,E04008753,South Barrow,E05012519,Cary,E07000189,South Somerset
11282,E04008772,Yarlington,E05012519,Cary,E07000189,South Somerset
11283,E04008675,Chard Town,E05012520,Chard Avishayes,E07000189,South Somerset
11284,E04008675,Chard Town,E05012521,Chard Combe,E07000189,South Somerset
11285,E04008675,Chard Town,E05012522,Chard Crimchard,E07000189,South Somerset
11286,E04008675,Chard Town,E05012523,Chard Holyrood,E07000189,South Somerset
11287,E04008675,Chard Town,E05012524,Chard Jocelyn,E07000189,South Somerset
11288,E04008665,Barwick and Stoford,E05012525,Coker,E07000189,South Somerset
11289,E04008683,Closworth,E05012525,Coker,E07000189,South Somerset
11290,E04008699,East Coker,E05012525,Coker,E07000189,South Somerset
11291,E04008701,Hardington Mandeville,E05012525,Coker,E07000189,South Somerset
11292,E04008741,Odcombe,E05012525,Coker,E07000189,South Somerset
11293,E04008766,West Coker,E05012525,Coker,E07000189,South Somerset
11294,E04008688,Crewkerne,E05012526,Crewkerne,E07000189,South Somerset
11295,E04008732,Misterton,E05012526,Crewkerne,E07000189,South Somerset
11296,E04008693,Curry Rivel,E05012527,"Curry Rivel, Huish & Langport",E07000189,South Somerset
11297,E04008709,Huish Episcopi,E05012527,"Curry Rivel, Huish & Langport",E07000189,South Somerset
11298,E04008721,Langport,E05012527,"Curry Rivel, Huish & Langport",E07000189,South Somerset
11299,E04008705,Hinton St. George,E05012528,Eggwood,E07000189,South Somerset
11300,E04008730,Merriott,E05012528,Eggwood,E07000189,South Somerset
11301,E04008740,Norton sub Hamdon,E05012529,Hamdon,E07000189,South Somerset
11302,E04008758,Stoke sub Hamdon,E05012529,Hamdon,E07000189,South Somerset
11303,E04008711,Ilminster,E05012530,Ilminster,E07000189,South Somerset
11304,E04008666,Beercrocombe,E05012531,Islemoor,E07000189,South Somerset
11305,E04008692,Curry Mallet,E05012531,Islemoor,E07000189,South Somerset
11306,E04008700,Fivehead,E05012531,Islemoor,E07000189,South Somerset
11307,E04008712,Ilton,E05012531,Islemoor,E07000189,South Somerset
11308,E04008713,Isle Abbotts,E05012531,Islemoor,E07000189,South Somerset
11309,E04008714,Isle Brewers,E05012531,Islemoor,E07000189,South Somerset
11310,E04008745,Puckington,E05012531,Islemoor,E07000189,South Somerset
11311,E04008660,Ash,E05012532,Martock,E07000189,South Somerset
11312,E04008723,Long Load,E05012532,Martock,E07000189,South Somerset
11313,E04008729,Martock,E05012532,Martock,E07000189,South Somerset
11314,E04008731,Milborne Port,E05012533,Milborne Port,E07000189,South Somerset
11315,E04008661,Ashill,E05012534,Neroche,E07000189,South Somerset
11316,E04008669,Broadway,E05012534,Neroche,E07000189,South Somerset
11317,E04008695,Donyatt,E05012534,Neroche,E07000189,South Somerset
11318,E04008708,Horton,E05012534,Neroche,E07000189,South Somerset
